No,Barcode,Name,Time,Temp,Moisture
1,89686000061,3 AYAM MIE TELOR 200G,3,150,100
2,8992388112678,ABC AYM PEDAS CUP 80g,3,150,100
3,8992388112678,ABC AYM PEDAS CUP 80g,3,150,100
4,8992388121267,ABC PEDAS GULAI AYAM CUP 60g,3,150,100
5,8992388121267,ABC PEDAS GULAI AYAM CUP 60g,3,150,100
6,8992388111206,ABC PEDAS GULAI AYM. PCK 70g,3,150,100
7,8992388111206,ABC PEDAS GULAI AYM. PCK 70g,3,150,100
8,711844330108,ABC SARDINES CHILI KLG 155g,3,80,100
9,711844330108,ABC SARDINES CHILI KLG 155g,3,80,100
10,711844330115,ABC SARDINES CHILI KLG 425g,3,100,100
11,711844330115,ABC SARDINES CHILI KLG 425g,3,100,100
12,8992696404441,BEAR BRAND KLG 189mL,3,80,100
13,8992696404441,BEAR BRAND KLG 189mL,3,80,100
14,89686010015,INDOMIE AYAM BAWAN 69g,3,150,100
15,89686043983,INDOMIE GRG DENDENG BA 90g,3,150,100
16,89686043686,INDOMIE GRG IGA PENYET 80g,3,150,100
17,89686010947,INDOMIE GRG PLUS SPECIAL 80g,3,150,100
18,89686910704,INDOMIE GRG RENDANG 91g,3,150,100
19,89686010107,INDOMIE KALDU AYAM 65g,3,150,100
20,89686010527,INDOMIE KARI AYAM 72g,3,150,100
21,89686043990,INDOMIE SOTO LAMON 90g,3,150,100
22,89686010343,INDOMIE SOTO MIE 70g,3,150,100
23,89686010718,INDOMIEGORENG CABE IJO 85g,3,150,100
24,89686011036,INDOMIEGRG PEDAS 80g,3,150,100
25,8888900700006,LA FONTE PASTA SAUCE BOLOGNESE PCH 315g,3,150,100
26,8888900415009,LA FONTE SPAGHETTIBOX 225g,3,150,100
